country,total_2006,total_2023,ratio_2023_2006,change_category,change_level,NumericSize,country_plot
Nepal,95.4,80.2,0.8406708595387841,2_small_decrease,2,1.159329140461216,Nepal
Netherlands,28.1,21.0,0.7473309608540925,1_big_decrease,1,1.2526690391459074,NETHERLANDS
New Zealand,19.4,16.7,0.8608247422680413,2_small_decrease,2,1.1391752577319587,New Zealand
Nicaragua,82.4,77.7,0.9429611650485437,3_no_change,3,1.0570388349514563,Nicaragua
Niger,87.0,93.4,1.0735632183908046,3_no_change,3,1.0735632183908046,Niger
Nigeria,94.4,98.0,1.0381355932203389,3_no_change,3,1.0381355932203389,Nigeria
North Korea,97.3,87.0,0.894141829393628,3_no_change,3,1.1058581706063721,North Korea
Norway,16.8,14.5,0.863095238095238,2_small_decrease,2,1.1369047619047619,Norway
Oman,43.8,48.7,1.1118721461187215,3_no_change,3,1.1118721461187215,Oman
Pakistan,103.1,89.89999999999999,0.8719689621726479,3_no_change,3,1.1280310378273521,Pakistan
Panama,59.6,48.7,0.8171140939597316,2_small_decrease,2,1.1828859060402683,Panama
Papua New Guinea,84.6,78.1,0.9231678486997635,3_no_change,3,1.0768321513002364,Papua New Guinea
Paraguay,72.0,63.7,0.8847222222222223,3_no_change,3,1.1152777777777776,Paraguay
Peru,79.2,73.10000000000001,0.922979797979798,3_no_change,3,1.077020202020202,Peru
Philippines,79.2,77.8,0.9823232323232323,3_no_change,3,1.0176767676767677,Philippines
Poland,47.9,45.2,0.943632567849687,3_no_change,3,1.0563674321503131,Poland
Portugal,32.7,25.7,0.7859327217125381,1_big_decrease,1,1.214067278287462,PORTUGAL
Romania,62.6,53.0,0.8466453674121406,2_small_decrease,2,1.1533546325878594,Romania
Russia,87.1,80.7,0.9265212399540759,3_no_change,3,1.0734787600459241,Russia
Rwanda,92.9,82.30000000000001,0.8858988159311088,3_no_change,3,1.1141011840688912,Rwanda
Saudi Arabia,77.2,65.3,0.8458549222797926,2_small_decrease,2,1.1541450777202074,Saudi Arabia
Senegal,66.1,71.50000000000001,1.0816944024205752,3_no_change,3,1.0816944024205752,Senegal
Serbia,83.8,67.9,0.8102625298329357,2_small_decrease,2,1.1897374701670644,Serbia
Sierra Leone,96.6,81.39999999999999,0.8426501035196687,2_small_decrease,2,1.1573498964803313,Sierra Leone
Singapore,30.8,25.5,0.827922077922078,2_small_decrease,2,1.172077922077922,Singapore
Slovak Republic,49.9,37.8,0.7575150300601202,1_big_decrease,1,1.2424849699398797,SLOVAK REPUBLIC
Slovenia,36.8,27.3,0.7418478260869567,1_big_decrease,1,1.2581521739130435,SLOVENIA
Somalia,105.9,111.9,1.0566572237960339,3_no_change,3,1.0566572237960339,Somalia
South Africa,55.7,72.0,1.2926391382405744,5_big_improvement,5,1.2926391382405744,SOUTH AFRICA
South Korea,39.9,31.5,0.7894736842105263,1_big_decrease,1,1.2105263157894737,SOUTH KOREA
Spain,37.4,43.49999999999999,1.1631016042780746,4_small_improvement,4,1.1631016042780746,Spain
Sri Lanka,92.4,90.3,0.9772727272727272,3_no_change,3,1.022727272727273,Sri Lanka
Sudan,112.3,106.2,0.9456812110418522,3_no_change,3,1.0543187889581478,Sudan
Sweden,18.2,20.6,1.131868131868132,3_no_change,3,1.131868131868132,Sweden
Switzerland,18.7,17.799999999999997,0.9518716577540106,3_no_change,3,1.0481283422459895,Switzerland
Syria,88.6,107.1,1.208803611738149,5_big_improvement,5,1.208803611738149,SYRIA
Tajikistan,87.7,74.2,0.8460661345496009,2_small_decrease,2,1.1539338654503992,Tajikistan
Tanzania,78.3,76.6,0.9782886334610472,3_no_change,3,1.0217113665389528,Tanzania
Thailand,74.9,68.0,0.9078771695594124,3_no_change,3,1.0921228304405877,Thailand
Togo,88.3,82.1,0.9297848244620611,3_no_change,3,1.070215175537939,Togo
Tunisia,65.4,66.39999999999999,1.0152905198776756,3_no_change,3,1.0152905198776756,Tunisia
Turkey,74.4,81.19999999999999,1.0913978494623653,3_no_change,3,1.0913978494623653,Turkey
Turkmenistan,86.1,64.5,0.7491289198606272,1_big_decrease,1,1.2508710801393728,TURKMENISTAN
Uganda,94.5,91.5,0.9682539682539683,3_no_change,3,1.0317460317460316,Uganda
Ukraine,72.9,95.9,1.3155006858710563,5_big_improvement,5,1.3155006858710563,UKRAINE
United Kingdom,34.2,41.9,1.2251461988304093,5_big_improvement,5,1.2251461988304093,UNITED KINGDOM
United States,34.5,45.3,1.3130434782608695,5_big_improvement,5,1.3130434782608695,UNITED STATES
Uruguay,41.2,34.4,0.8349514563106796,2_small_decrease,2,1.1650485436893203,Uruguay
Uzbekistan,94.4,66.80000000000001,0.7076271186440679,1_big_decrease,1,1.292372881355932,UZBEKISTAN
Venezuela,81.2,90.5,1.1145320197044335,3_no_change,3,1.1145320197044335,Venezuela
Vietnam,78.6,58.3,0.7417302798982188,1_big_decrease,1,1.2582697201017812,VIETNAM
Yemen,96.6,108.9,1.127329192546584,3_no_change,3,1.127329192546584,Yemen
Zambia,79.6,81.8,1.0276381909547738,3_no_change,3,1.0276381909547738,Zambia
Zimbabwe,108.9,96.9,0.8898071625344353,3_no_change,3,1.1101928374655647,Zimbabwe
